gene_id	paired_ABC284_1	paired_oxIs12_2	paired_ABC16_2	paired_oxIs12_1	paired_ABC291_1	paired_ABC291_2	paired_ABC16_1	paired_ABC284_2
WBGene00020573	1.0	6.0	2.0	4.0	10.0	9.0	3.0	5.0
WBGene00020574	52.0	29.0	60.0	67.0	43.0	42.0	42.0	28.0
WBGene00020575	18.96	11.0	15.0	31.33	5.1	15.42	24.94	11.49
WBGene00020576	1130.92	2055.09	1470.45	1467.79	950.27	879.92	1623.48	1119.35
WBGene00020577	458.08	338.91	440.55	422.21	474.73	463.08	497.52	504.65
WBGene00020578	2.0	4.0	7.0	2.0	5.0	2.0	1.0	0.0
WBGene00020579	704.0	1957.0	1250.0	1436.0	681.0	551.0	1986.0	838.0
WBGene00020580	105.0	202.0	113.0	122.0	105.0	97.0	112.0	42.0
WBGene00020581	966.0	906.0	859.0	1335.0	1076.0	1081.0	929.0	981.0
WBGene00020582	17.0	22.0	14.0	26.0	12.0	9.0	39.0	25.0
WBGene00020583	12.0	22.0	29.0	44.0	19.0	15.0	23.0	1.0
WBGene00020584	4.0	3.0	2.0	0.0	1.0	4.0	5.0	3.0
WBGene00020585	13.0	28.0	27.0	32.0	30.0	36.0	36.0	21.0
WBGene00020586	24.0	29.0	16.0	39.0	30.0	32.0	29.0	24.0
WBGene00020587	70.0	33.0	38.0	41.0	35.0	165.0	37.0	100.0
WBGene00020588	4232.0	3407.0	3754.0	2372.0	6029.0	5304.0	3711.0	6019.0
WBGene00020589	70.0	71.0	43.0	55.0	63.0	72.0	68.0	81.0
WBGene00020590	9.0	42.0	38.0	46.0	6.0	1.0	43.0	4.0
WBGene00020591	13.0	8.0	16.0	34.0	13.0	17.0	13.0	12.0
WBGene00020592	483.0	625.0	356.0	541.0	349.0	406.0	471.0	544.0
WBGene00020593	116.0	195.0	35.0	110.0	93.0	84.0	36.0	109.0
WBGene00020594	2.0	6.0	11.0	3.0	9.0	7.0	4.0	1.0
WBGene00020595	35.0	77.0	32.0	57.0	10.0	18.0	53.0	55.0
WBGene00020596	349.0	519.0	409.0	606.0	410.0	369.0	369.0	366.0
WBGene00020598	97.0	191.0	169.0	199.0	57.0	88.0	183.0	74.0
WBGene00020599	37.0	198.0	197.0	332.0	7.0	24.0	248.0	107.0
WBGene00020600	597.0	850.0	764.0	715.0	740.0	627.0	759.0	764.0
WBGene00020601	620.0	629.0	726.0	539.0	608.0	596.0	711.0	695.0
WBGene00020602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020604	1833.0	1795.0	1624.0	1803.0	2322.0	2209.0	1879.0	2519.0
WBGene00020605	80.0	88.0	48.0	63.0	60.0	46.0	61.0	77.0
WBGene00020607	2.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0
WBGene00020608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020609	303.66	29.19	24.0	12.0	380.7	203.44	68.89	104.05
WBGene00020611	444.34	124.81	45.0	23.0	661.3	322.56	85.11	189.95
WBGene00020612	221.0	139.0	138.0	111.0	162.0	169.0	133.0	178.0
WBGene00020613	650.0	86.0	55.0	66.0	932.0	743.0	95.0	315.0
WBGene00020614	6.0	1.0	5.0	1.0	0.0	3.0	2.0	0.0
WBGene00020615	14.0	10.0	7.0	8.0	16.0	2.0	5.0	9.0
WBGene00020616	208.0	103.0	118.0	83.0	140.0	160.0	176.0	172.0
WBGene00020617	229.0	105.0	107.0	61.0	250.0	211.0	136.0	210.0
WBGene00020618	74.0	23.0	36.0	13.0	59.0	95.0	67.0	109.0
WBGene00020619	2.0	1.0	0.0	0.0	0.0	2.0	1.0	4.0
WBGene00020620	37.0	8.0	15.0	1.0	21.0	18.0	28.0	22.0
WBGene00020622	3.0	1.0	5.0	1.0	5.0	3.0	0.0	4.0
WBGene00020623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
WBGene00020625	163.0	262.0	171.0	242.0	245.0	295.0	173.0	214.0
WBGene00020626	23.0	24.0	82.0	42.0	8.0	35.0	107.0	42.0
WBGene00020627	285.0	528.0	384.0	409.0	168.0	193.0	395.0	125.0
WBGene00020628	1190.0	1380.0	1385.0	1103.0	1690.0	1640.0	1176.0	1852.0
WBGene00020629	936.0	839.0	980.0	706.0	1212.0	1050.0	986.0	1151.0
WBGene00020630	227.0	142.0	152.0	164.0	356.0	272.0	150.0	358.0
WBGene00020631	1.0	6.0	11.0	30.0	11.0	14.0	7.0	9.0
WBGene00020632	84.0	91.0	107.0	71.0	98.0	107.0	110.0	125.0
WBGene00020633	267.0	351.0	370.0	406.0	300.0	296.0	398.0	331.0
WBGene00020634	3.0	9.0	13.0	14.0	5.0	9.0	20.0	15.0
WBGene00020635	64.0	131.0	86.0	141.0	69.0	95.0	134.0	80.0
WBGene00020636	1932.0	2589.0	2470.0	2799.0	2409.0	1990.0	2510.0	2373.0
WBGene00020637	0.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0
WBGene00020638	2.0	7.0	0.0	3.0	1.0	7.0	4.0	1.0
WBGene00020639	10.0	17.0	2.0	9.0	16.0	26.0	14.0	13.0
WBGene00020640	3.0	2.0	0.0	1.0	6.0	8.0	3.0	0.0
WBGene00020641	0.0	0.0	0.0	1.0	2.0	1.0	0.0	3.0
WBGene00020642	22.0	23.0	34.0	15.0	31.0	23.0	35.0	10.0
WBGene00020645	0.0	0.0	1.0	0.0	0.0	0.0	1.0	3.0
WBGene00020646	75.0	188.0	56.0	253.0	35.0	48.0	71.0	47.0
WBGene00020647	471.0	526.0	599.68	541.0	801.0	672.0	617.0	773.0
WBGene00020648	1.0	6.0	13.0	41.0	9.0	4.0	15.0	15.0
WBGene00020649	628.0	448.0	405.0	400.0	642.0	500.0	501.0	545.0
WBGene00020650	24.0	14.0	10.0	28.0	23.0	18.0	7.0	10.0
WBGene00020651	482.0	521.0	269.0	362.0	306.0	356.0	397.0	351.0
WBGene00020652	2082.67	1439.6	1355.08	801.2	2861.71	2421.79	1284.63	2762.22
WBGene00020653	32.0	27.0	28.0	26.0	22.0	27.0	33.0	22.0
WBGene00020655	1.0	13.0	6.0	1.0	2.0	2.0	6.0	9.0
WBGene00020656	22.0	34.0	32.0	29.0	11.0	21.0	44.0	21.0
WBGene00020657	14.0	17.0	24.0	22.0	12.0	29.0	10.0	14.0
WBGene00020658	352.0	806.0	395.0	447.0	628.0	363.0	494.0	363.0
WBGene00020659	207.0	221.0	191.0	137.0	244.0	209.0	240.0	94.0
WBGene00020660	0.0	0.0	0.0	0.0	0.0	4.62	0.0	0.0
